id,CombAdj1,CombAdj2,CombAdj11,CombAdj12,CombAdj13,CombAdj14,CombAdj15,CombAdj16,CombAdj17,CombAdj18,CombAdj19,CombAdj3,CombAdj4,CombAdj5,CombAdj6,CombAdj7,CombAdj8,CombAdj9,CombAdj10
1,6,6,1,1,1,6,0,3,0,2,2,3,12,3,2,1,2,0,2
2,8,8,1,2,3,12,1,0,0,0,0,4,20,2,3,3,1,4,3
3,4,6,1,0,3,3,1,0,0,0,2,4,8,0,2,1,2,0,2
4,1,6,1,1,1,12,1,0,1,0,1,5,6,0,0,1,0,0,2
5,7,7,1,1,1,7,1,2,0,0,2,3,10,1,3,2,0,1,2
6,2,11,0,0,1,5,0,0,0,0,0,3,12,3,1,1,2,1,1
7,3,14,1,1,2,8,0,0,0,1,2,3,12,1,1,0,1,0,1
8,3,11,2,0,3,3,0,2,0,1,6,3,7,3,1,0,1,0,2
9,4,11,0,0,0,6,2,2,0,0,1,5,14,4,2,1,3,3,2
10,5,8,2,1,4,4,0,1,0,0,1,5,10,1,3,1,2,1,1
11,6,6,0,1,5,6,0,2,0,0,0,4,7,2,4,2,3,1,5
12,6,8,3,0,2,6,0,0,1,2,1,0,11,2,0,1,3,1,3
13,3,5,3,1,3,11,2,0,1,2,0,3,4,1,3,2,4,2,2
14,1,7,2,0,3,9,2,3,0,1,0,3,12,0,5,2,3,0,4
15,3,7,3,1,2,10,2,3,0,0,0,6,13,0,3,1,4,0,2
16,3,5,4,4,3,6,2,1,0,1,0,4,14,1,2,2,1,1,2
17,5,7,2,1,2,5,1,0,1,0,0,3,14,2,4,1,4,0,2
18,4,4,0,1,3,8,0,1,0,1,1,3,12,3,3,2,2,0,1
19,5,8,2,3,1,3,0,1,2,0,3,7,5,0,2,1,2,0,2
20,4,4,1,1,1,7,0,0,0,0,1,1,15,1,2,0,0,1,0
21,3,4,1,2,3,9,0,2,1,0,0,6,16,0,3,0,4,0,0
22,6,5,2,1,4,3,2,1,0,0,0,5,10,1,6,2,2,0,1
23,5,10,2,0,6,5,1,0,0,0,1,6,13,2,3,2,8,0,2
24,3,5,0,2,1,9,0,0,0,0,0,4,10,1,2,3,1,0,3
25,3,8,5,1,4,8,0,2,0,0,2,4,11,2,2,0,4,0,0
26,4,4,1,2,2,7,0,2,0,1,1,2,13,1,2,1,2,1,2
27,4,10,1,2,2,4,0,1,0,1,1,1,12,1,2,1,1,0,1
28,6,6,3,1,3,7,1,1,0,0,2,6,11,0,2,1,2,0,4
29,4,9,1,0,1,8,1,1,0,1,1,1,9,3,2,2,0,0,2
30,3,9,1,1,2,7,1,2,0,0,2,4,11,0,1,0,1,0,0
31,4,7,0,2,1,8,2,1,1,0,1,3,10,3,2,2,3,1,0
32,7,6,1,1,2,4,1,2,0,0,0,3,14,0,1,1,2,0,2
