id,ConstAdj1,ConstAdj2,ConstAdj3,ConstAdj4,ConstAdj5,ConstAdj6,ConstAdj7,ConstAdj8,ConstAdj9,ConstAdj10
1,11,3,1,2,0,2,1,0,1,2
2,16,1,0,0,0,6,1,1,0,0
3,8,1,0,0,2,2,2,0,0,1
4,7,1,1,0,1,8,1,0,0,1
5,12,1,0,1,2,2,0,0,0,1
6,12,0,0,2,1,2,1,0,0,2
7,7,2,0,1,0,5,1,1,0,0
8,8,5,0,2,1,1,2,0,0,0
9,18,1,0,2,0,3,0,0,0,3
10,8,2,1,0,2,2,4,1,0,2
11,9,2,0,1,2,2,4,1,0,2
12,9,3,3,1,0,3,2,0,1,0
13,7,1,1,0,3,6,1,0,1,3
14,8,0,1,0,4,5,3,0,0,1
15,11,2,2,0,3,6,2,0,0,2
16,12,0,3,0,1,3,2,4,1,2
17,7,1,1,0,2,3,2,0,0,2
18,10,2,0,0,1,3,2,0,1,1
19,10,2,1,0,2,2,1,2,0,1
20,8,2,0,1,1,2,1,0,0,0
21,9,2,0,0,3,5,3,1,0,1
22,8,0,0,0,3,2,3,1,0,3
23,15,1,1,1,1,4,5,0,0,6
24,9,1,0,0,2,3,1,0,0,0
25,10,2,1,2,2,4,4,0,0,1
26,11,1,1,0,1,2,1,1,1,1
27,9,1,1,1,2,3,2,1,1,1
28,13,1,1,0,0,4,2,0,0,1
29,5,1,1,2,1,5,0,0,1,2
30,9,3,1,0,1,4,2,1,0,2
31,8,3,0,0,1,7,0,2,0,1
32,12,2,0,0,0,1,1,1,0,1
