id,ConstNoun1,ConstNoun2,ConstNoun3,ConstNoun4,ConstNoun5,ConstNoun6,ConstNoun7,ConstNoun8,ConstNoun9
1,0.5835,0.1025,0.2397,0.2471,0.6564,0.1467,0.1304,0.2471,0.0
2,0.197,0.1384,0.1079,0.0,0.788,0.4954,0.0881,0.2225,0.0819
3,0.4526,0.0,0.0708,0.219,0.8406,0.1301,0.1156,0.073,0.0
4,0.3249,0.0,0.2135,0.1467,0.9096,0.0,0.0,0.0,0.0
5,0.3502,0.0,0.1096,0.226,0.9006,0.0,0.0,0.0565,0.0
6,0.3705,0.1488,0.058,0.0598,0.8999,0.1065,0.0947,0.0598,0.0
7,0.3375,0.1897,0.1479,0.0762,0.8776,0.0,0.0,0.2287,0.0
8,0.1541,0.0,0.0563,0.116,0.9759,0.0,0.0,0.0,0.0854
9,0.194,0.1818,0.2833,0.0,0.8406,0.2601,0.2313,0.146,0.0
10,0.3726,0.0,0.204,0.1402,0.8693,0.0,0.0,0.2103,0.0
11,0.2399,0.1349,0.1577,0.1084,0.9117,0.1931,0.0858,0.1084,0.0
12,0.2416,0.2038,0.0,0.0546,0.9182,0.0,0.0,0.2183,0.0804
13,0.2993,0.2524,0.2623,0.338,0.7783,0.0,0.0,0.1352,0.1992
14,0.4382,0.088,0.2057,0.2827,0.8137,0.0,0.0,0.0707,0.1041
15,0.3359,0.0787,0.2452,0.316,0.8396,0.0,0.0,0.1264,0.0
16,0.2866,0.0806,0.1256,0.1295,0.9171,0.0,0.0,0.1942,0.0
17,0.198,0.2087,0.1626,0.2794,0.8908,0.0,0.0,0.1118,0.0823
18,0.1659,0.1555,0.1212,0.0,0.9403,0.0,0.0,0.1249,0.184
19,0.2428,0.0,0.0886,0.1828,0.8902,0.1628,0.0,0.0914,0.2692
20,0.245,0.1377,0.161,0.166,0.8821,0.0986,0.0876,0.1107,0.2445
21,0.2784,0.0783,0.122,0.2515,0.891,0.0,0.0996,0.0,0.1853
22,0.4516,0.2116,0.2473,0.085,0.6773,0.0,0.1346,0.255,0.3755
23,0.3566,0.0,0.3255,0.1342,0.7726,0.0,0.3189,0.2013,0.0989
24,0.0738,0.2074,0.0,0.2499,0.8115,0.4452,0.1319,0.0,0.1227
25,0.2907,0.0,0.4776,0.1641,0.7994,0.0,0.0,0.0821,0.1209
26,0.1531,0.1076,0.1677,0.2593,0.9184,0.0,0.1369,0.0864,0.0
27,0.493,0.154,0.18,0.0619,0.8217,0.0,0.098,0.0619,0.0911
28,0.2556,0.0599,0.0467,0.0481,0.9372,0.0857,0.0,0.1443,0.1417
29,0.161,0.0,0.0882,0.0,0.966,0.0,0.0,0.1818,0.0
30,0.3212,0.0,0.1407,0.1451,0.8993,0.0,0.0,0.2176,0.0
31,0.2178,0.0765,0.1193,0.123,0.9257,0.0,0.0,0.2459,0.0
32,0.3531,0.0,0.0,0.319,0.7769,0.2841,0.2526,0.1595,0.0
