id,mean_amplitude,rms,pulse_count,std_pulse_dist,zero_count,mean_onset_strength,spectral_centroid
1,-190.46,7610.50,39,2.69,112261,2.37,6593.61
2,4.12,6018.91,24,33.06,136033,1.21,8903.30
3,21.13,8263.97,12,20.49,131483,1.32,6828.98
4,634.60,11511.00,54,5.53,148463,2.91,4994.30
5,845.03,2407.76,32,25.13,26552,0.13,7010.18
6,-27.43,6370.57,43,3.43,51180,2.13,4158.46
7,173.82,23165.73,60,3.13,50,0.48,189.64
8,1326.57,7307.67,37,5.29,35655,0.43,3167.93
9,-853.58,8029.30,19,32.76,231976,0.86,8823.24
10,809.80,19379.09,46,6.82,32,0.74,310.60
11,-7.26,2816.10,48,3.60,161790,1.40,6950.27
12,200.15,23168.45,58,4.32,1990,1.66,408.07
13,254.86,11966.46,28,21.00,174074,1.77,8507.81
14,-56.36,6174.16,20,5.26,173300,0.55,7764.19
15,-0.08,11921.94,30,8.48,575,0.62,171.62
16,-0.11,23963.50,37,5.42,70,0.73,291.30
17,191.73,12020.13,40,6.19,790,1.10,178.08
18,35.86,5927.31,24,19.06,183012,1.00,8567.91
19,102.42,11147.46,14,45.36,34505,1.37,2991.95
20,-62.92,11726.47,49,4.19,143915,1.72,6261.81
21,76.29,10401.82,36,12.05,161283,1.33,7274.61
22,20.61,6376.63,10,20.70,108406,1.15,5542.11
23,-1.98,7726.96,14,28.50,87048,1.18,4493.25
24,97.23,12977.37,58,4.49,92440,4.93,2430.80
25,48.05,6482.71,39,2.93,191628,2.48,5856.43
26,517.56,15927.46,67,2.42,90748,2.85,1815.98
27,375.13,10006.91,42,14.68,199128,2.40,7336.09
28,262.01,14349.58,51,2.82,157913,2.52,4570.21
29,-30.50,10139.27,36,10.97,208339,1.30,8780.56
30,28.71,7085.30,23,22.51,134924,0.96,9458.39
31,-28.62,12852.05,52,3.37,97,2.13,1324.41
32,75.58,30986.08,57,4.59,4957,1.61,2821.31
