Concept,Descriptors
CombNoun1,screen window background touch picture paper
CombNoun2,pattern skin texture
CombNoun3,vibration friction motor
CombNoun4,excitement sensation feeling sense buzz danger attention emotion shock mind
CombNoun5,alarm clock phone
CombNoun6,finger hand fingertip bump head
CombNoun7,direction object line action
CombNoun8,music sound noise
CombNoun9,wave pulse interval frequency
CombNoun10,surface light glass plate
CombNoun11,rhythm heart heartbeat
CombNoun12,word adjective
CombNoun13,ball game
CombNoun14,one bit life kind way thing time person lot day stuff sort difference people other reason place part point
CombNoun15,ice water
CombNoun16,resistance movement
CombNoun17,beat beating
