,mean_amplitude,zero_count,mean_onset_strength,beat_count,mean_beat_dist,std_beat_dist,mean_rms,mean_spect_centroid
CombAdj1,0.0731,-0.2024,-0.0755,-0.0111,0.1538,0.2105,0.0778,-0.019
CombAdj2,0.177,-0.1573,-0.2226,-0.0348,0.0089,0.0935,-0.0261,-0.0957
CombAdj3,-0.0039,-0.0494,-0.0014,-0.3912,0.4491,0.3687,-0.1514,-0.07
CombAdj4,-0.2954,-0.0688,0.0175,0.188,-0.1493,-0.2467,0.2247,-0.0801
CombAdj5,-0.1469,0.09,-0.0049,0.0491,-0.1333,-0.1045,-0.2695,0.0903
CombAdj6,-0.1052,0.1613,-0.2318,-0.4678,0.5296,0.1708,-0.4062,0.1922
CombAdj7,-0.1096,0.0546,0.2393,-0.1353,0.1964,0.1599,-0.1532,0.1001
CombAdj8,-0.2585,-0.0387,-0.05,-0.2695,0.285,0.0953,-0.0685,-0.1329
CombAdj9,-0.1866,0.0846,-0.1061,-0.0043,-0.0848,0.2608,-0.0423,0.1738
CombAdj10,0.0641,0.0615,0.1333,0.0853,-0.0302,-0.0828,-0.0281,-0.0171
CombAdj11,0.2109,-0.1449,-0.1323,-0.1117,0.0745,-0.0809,0.246,-0.2736
CombAdj12,0.0494,-0.2204,0.2645,0.1617,-0.139,0.0931,0.2652,-0.2793
CombAdj13,0.2002,0.0831,-0.1994,-0.2476,0.3381,-0.0312,-0.1143,0.0274
CombAdj14,-0.0002,0.3032,0.3613,0.2677,-0.3797,-0.2056,-0.0817,0.2077
CombAdj15,-0.2638,0.0135,-0.2642,-0.4095,0.4079,0.1839,-0.0075,0.0951
CombAdj16,0.0117,0.0856,-0.2379,-0.0894,-0.0365,-0.1092,-0.1934,0.162
CombAdj17,0.0604,-0.2,0.0944,-0.0311,0.0268,0.2862,0.1165,-0.2007
CombAdj18,0.1058,0.0698,0.0045,0.1424,-0.2102,-0.1928,0.1875,0.0415
CombAdj19,0.5015,-0.0897,-0.168,-0.0979,0.0662,0.1338,-0.1572,-0.0065
